,Aguas-A,CAP,CCU,CMPC,COLBUN,ConchaToro,ECL,LTM,SQM,Vapores,IGPA,BCP 10
2/1/2020,-0.068940132,-0.027691365,-0.139677131,-0.106270811,-0.126131701,-0.059673624,-0.060061091,-0.197600155,-0.038580292,-0.048236301,-0.101221987,0.002861298
3/1/2020,-0.105389815,-0.23209341,-0.045603848,0.102995354,-0.099120562,-0.226473482,-0.110986935,-0.908258535,-0.093540061,-0.342654096,-0.171008153,0.002798598
4/1/2020,0.105345866,0.104409587,0.049319113,-0.016037871,0.275424456,0.196876441,0.087386088,0.360531131,0.015740345,0.160797547,0.125414932,0.002505575
5/1/2020,-0.174799268,0.244746669,-0.035972006,-0.096183086,0.128317483,-0.125134031,-0.086327709,-1.299811442,0.000848783,-0.067052138,-0.076546807,0.001975978
6/1/2020,0.168361856,0.021854154,0.021704367,0.001227851,0.0005997,0.10545854,0.15097396,0.312135821,0.090006034,0.006688988,0.083869353,0.002001921
7/1/2020,-0.044317059,0.069011411,-0.005763728,0.0271981,0.04469936,-0.014102416,-0.012815994,0.101865052,0.075676124,0.04277564,0.015041286,0.002063532
8/1/2020,-0.132983286,0.191038365,-0.140311719,-0.037667704,-0.132364973,0.068246718,-0.032788739,0.008114548,0.052932559,0.136454724,-0.055511714,0.002004928
9/1/2020,-0.057444277,-0.042183005,-0.008016638,0.021437771,0.055839554,-0.044724705,-0.072067286,-0.023216481,0.048078576,-0.002479852,-0.037998162,0.002131842
10/1/2020,-0.090939814,-0.020899262,-0.164783931,-0.02572499,-0.083711299,-0.041118289,-0.182526212,-0.095567766,0.11407673,0.066631302,-0.029863599,0.002146454
11/1/2020,0.095516226,0.127833191,0.225929574,0.025785674,0.044422504,0.062813662,0.177953631,-0.076614143,0.239674781,0.039287717,0.121270302,0.002164149
12/1/2020,0.080629342,0.292140747,-0.016559373,0.125102905,0.055861217,-0.054099509,-0.055888798,0.160170893,-0.036913912,0.202952239,0.037757428,0.00226171
1/1/2021,-0.026494718,-0.020641759,0.137429407,0.049553542,0.009541913,-0.044497177,0.009152246,-0.014397875,0.071111791,0.078428616,0.031559611,0.002177582
2/1/2021,-0.072056955,0.087010871,0.03669558,0.07128587,0.064924714,-0.00425136,-0.020714853,0.080628079,0.0434552,0.108137945,0.06336206,0.002236334
3/1/2021,0.071529334,0.134462298,0.01161979,0.091764468,0.036342418,0.055352219,-0.047635621,-0.112456883,0.007592814,0.116269031,0.066488443,0.00260858
4/1/2021,-0.098418235,0.165852365,0.055060584,-0.157973878,-0.139053843,0.003224814,-0.089216662,0.068717124,-0.027938968,0.102629517,-0.087310914,0.002914667
5/1/2021,-0.326551888,0.038704568,-0.006135208,-0.048763864,-0.13004878,0.093200727,-0.199958941,0.476306168,-0.142991471,0.190341574,-0.031987106,0.003041289
6/1/2021,0.087959426,-0.044244982,0.129691635,-0.066316749,0.035724338,-0.027654413,-0.059818743,-0.167176231,0.069426535,0.246334004,-0.008272903,0.003485138
7/1/2021,0.021573838,0.042725303,0.102518423,-0.049595736,0.078705287,0.018672566,0.074922326,0.125306517,0.046585453,-0.062172058,-0.022910177,0.003664868
8/1/2021,0.115158975,-0.127016515,-0.048607225,0.047046984,0.143164445,-0.001516833,-0.045956771,-0.088248768,0.110394711,-0.026894157,0.056223581,0.003838612
9/1/2021,-0.060261995,-0.243810408,-0.078564238,-0.068220746,0.025576146,-0.01931188,0.012625493,-0.203776945,0.083672457,-0.014485174,-0.033613027,0.004253496
10/1/2021,-0.050349385,-0.068164739,-0.028619628,-0.017825509,-0.395508128,-0.084881092,-0.136276327,-0.229239572,0.009551171,0.060419641,-0.055012834,0.005132545
11/1/2021,0.175093481,-0.075292984,0.033057297,-0.113467916,-0.034913227,0.227360536,0.069521329,-1.481015183,0.16489367,0.075585823,0.077020771,0.004730576
12/1/2021,-0.132719935,0.105627938,0.048790164,0.097823634,0.246136825,-0.101739557,-0.009910884,0.189303267,-0.15278034,0.250109876,-0.030623943,0.004624619
1/1/2022,0.214073131,0.079857347,-0.04199396,0.028788199,-0.045766639,-0.02160379,0.258372243,-0.087114482,-0.018310569,-0.051947898,0.055208708,0.004777579
2/1/2022,-0.130542424,0.027558506,-0.047601457,-0.107126473,-0.128832872,-0.087999818,-0.292823472,-0.104227854,0.216093396,0.112816282,0.004011693,0.004724304
3/1/2022,0.036719101,0.277765037,-0.073178356,0.098447541,0.103319974,0.077969177,-0.012448294,-0.088331486,0.249362664,0.088322031,0.098540416,0.004949048
4/1/2022,-0.113233201,0.017396856,0.002299344,-0.136581194,-0.057464514,-0.015249467,-0.211056148,-0.08942084,-0.071768977,0.126092727,-0.032994022,0.005286206
5/1/2022,0.141120088,-0.003029868,0.031092146,0.143180047,0.069874188,0.054704532,0.019379907,0.389421836,0.33059636,0.238911578,0.144914635,0.005354333
6/1/2022,-0.156942438,-0.243030203,-0.013699133,0.068524577,0.032192887,-0.035234596,-0.102288575,-0.273991207,-0.113065127,-0.320613523,-0.081370681,0.005216427
7/1/2022,0.207774288,-0.002845676,-0.109199767,0.003924017,0.186624774,-0.03477246,0.133531393,-0.138208827,0.156935661,0.173255089,0.07610057,0.005344559
8/1/2022,0.077222938,-0.095369967,-0.065441539,0.144590987,0.13268807,-0.105631472,0.193290588,-0.018908673,0.001150669,-0.144877569,0.029738093,0.005432687
9/1/2022,-0.043730711,-0.144196022,0.077104044,-0.143255468,-0.027864445,0.0102414,-0.084260344,-1.455168355,0.005542782,-0.234769856,-0.043215528,0.005376707
10/1/2022,0.057204007,-0.215029395,-0.016482638,0.016092326,0.086835793,-0.028667444,0.196885318,-1.357595506,0.016752607,-0.01815481,0.015104622,0.005401159
11/1/2022,0.034583384,0.257255199,0.041783215,-0.014808482,-0.160095673,-0.01036946,-0.20007722,-0.894399689,-0.015713678,0.101536419,0.01165097,0.00465852
12/1/2022,-0.022411598,0.080514282,0.072743434,0.009195337,0.151995692,0.018373369,0.077299874,0.062229323,-0.220422652,-0.078893942,-0.029217736,0.004343216
